direction,symbol,date_ny,signal_tf,signal_start_time,signal_end_time,lod_idx,hh1_idx,hh2_idx,lod_time,hh1_time,hh2_time,lod_price,hh1_price,hh2_price,range_pips,fvg_sum_pips,fvg_max_leg1,fvg_max_leg2,hod_idx,ll1_idx,ll2_idx,hod_time,ll1_time,ll2_time,hod_price,ll1_price,ll2_price
buy,EURUSD,2023-01-10,M5,2023-01-10 08:40:00,2023-01-10 09:10:00,2023-01-10 08:40:00,2023-01-10 08:55:00,2023-01-10 09:05:00,2023-01-10 08:40:00,2023-01-10 08:55:00,2023-01-10 09:05:00,1.07119,1.07251,1.07462,34.29999999999822,14.100000000001334,1.2000000000012,12.900000000000134,,,,,,,,,
sell,EURUSD,2023-01-17,M5,2023-01-17 09:25:00,2023-01-17 10:25:00,,,,,,,,,,58.39999999999845,26.100000000000012,19.400000000000528,6.699999999999484,2023-01-17 09:25:00,2023-01-17 10:05:00,2023-01-17 10:20:00,2023-01-17 09:25:00,2023-01-17 10:05:00,2023-01-17 10:20:00,1.08693,1.08232,1.08109
buy,EURUSD,2023-01-24,M5,2023-01-24 10:05:00,2023-01-24 11:00:00,2023-01-24 10:05:00,2023-01-24 10:45:00,2023-01-24 10:55:00,2023-01-24 10:05:00,2023-01-24 10:45:00,2023-01-24 10:55:00,1.08349,1.08716,1.08803,45.399999999999885,5.20000000000076,4.3999999999999595,0.8000000000008001,,,,,,,,,
sell,EURUSD,2023-01-31,M5,2023-01-31 09:25:00,2023-01-31 10:25:00,,,,,,,,,,22.100000000000453,4.60000000000127,3.1000000000003247,0.5000000000010552,2023-01-31 09:25:00,2023-01-31 09:40:00,2023-01-31 10:20:00,2023-01-31 09:25:00,2023-01-31 09:40:00,2023-01-31 10:20:00,1.08642,1.08448,1.08421
sell,EURUSD,2023-02-28,M5,2023-02-28 10:00:00,2023-02-28 10:55:00,,,,,,,,,,35.199999999999676,9.500000000000064,3.8999999999989043,2.500000000000835,2023-02-28 10:00:00,2023-02-28 10:40:00,2023-02-28 10:50:00,2023-02-28 10:00:00,2023-02-28 10:40:00,2023-02-28 10:50:00,1.06451,1.06182,1.06099
sell,EURUSD,2023-04-21,M5,2023-04-21 09:00:00,2023-04-21 10:10:00,,,,,,,,,,51.099999999999476,30.300000000000882,24.100000000000232,5.9000000000009045,2023-04-21 09:00:00,2023-04-21 09:50:00,2023-04-21 10:05:00,2023-04-21 09:00:00,2023-04-21 09:50:00,2023-04-21 10:05:00,1.09936,1.09531,1.09425
buy,EURUSD,2023-04-27,M5,2023-04-27 09:45:00,2023-04-27 11:30:00,2023-04-27 09:45:00,2023-04-27 10:15:00,2023-04-27 11:25:00,2023-04-27 09:45:00,2023-04-27 10:15:00,2023-04-27 11:25:00,1.0992,1.10231,1.10264,34.40000000000109,9.599999999996278,2.500000000000835,3.8999999999989043,,,,,,,,,
sell,EURUSD,2023-05-01,M5,2023-05-01 09:00:00,2023-05-01 10:05:00,,,,,,,,,,35.49999999999942,4.900000000001015,2.300000000001745,1.8999999999991246,2023-05-01 09:00:00,2023-05-01 09:25:00,2023-05-01 10:00:00,2023-05-01 09:00:00,2023-05-01 09:25:00,2023-05-01 10:00:00,1.10355,1.10208,1.1
sell,EURUSD,2023-06-07,M5,2023-06-07 10:00:00,2023-06-07 10:45:00,,,,,,,,,,30.700000000001282,5.499999999998284,1.9999999999997797,2.0999999999982144,2023-06-07 10:00:00,2023-06-07 10:25:00,2023-06-07 10:40:00,2023-06-07 10:00:00,2023-06-07 10:25:00,2023-06-07 10:40:00,1.07396,1.0713,1.07089
sell,EURUSD,2023-06-27,M5,2023-06-27 09:40:00,2023-06-27 10:10:00,,,,,,,,,,25.200000000000777,7.500000000002505,3.5000000000007248,4.00000000000178,2023-06-27 09:40:00,2023-06-27 09:55:00,2023-06-27 10:05:00,2023-06-27 09:40:00,2023-06-27 09:55:00,2023-06-27 10:05:00,1.09766,1.09627,1.09514
buy,EURUSD,2023-07-10,M5,2023-07-10 08:45:00,2023-07-10 09:55:00,2023-07-10 08:45:00,2023-07-10 09:30:00,2023-07-10 09:50:00,2023-07-10 08:45:00,2023-07-10 09:30:00,2023-07-10 09:50:00,1.09434,1.09643,1.09687,25.299999999999212,9.80000000000203,3.20000000000098,5.9000000000009045,,,,,,,,,
buy,EURUSD,2023-07-17,M5,2023-07-17 09:45:00,2023-07-17 10:45:00,2023-07-17 09:45:00,2023-07-17 10:05:00,2023-07-17 10:40:00,2023-07-17 09:45:00,2023-07-17 10:05:00,2023-07-17 10:40:00,1.12033,1.1226,1.12303,26.999999999999247,4.20000000000087,2.20000000000109,1.9999999999997797,,,,,,,,,
sell,EURUSD,2023-07-28,M5,2023-07-28 08:30:00,2023-07-28 09:10:00,,,,,,,,,,40.19999999999912,5.599999999998939,0.7999999999985796,4.8000000000003595,2023-07-28 08:30:00,2023-07-28 08:45:00,2023-07-28 09:05:00,2023-07-28 08:30:00,2023-07-28 08:45:00,2023-07-28 09:05:00,1.10333,1.10032,1.09931
buy,EURUSD,2023-08-14,M5,2023-08-14 09:45:00,2023-08-14 11:20:00,2023-08-14 09:45:00,2023-08-14 10:15:00,2023-08-14 11:15:00,2023-08-14 09:45:00,2023-08-14 10:15:00,2023-08-14 11:15:00,1.08747,1.09088,1.09163,41.600000000001636,9.500000000000064,7.0000000000014495,2.4000000000001798,,,,,,,,,
sell,EURUSD,2023-08-17,M5,2023-08-17 08:35:00,2023-08-17 11:20:00,,,,,,,,,,35.90000000000204,7.500000000000284,2.100000000000435,1.0999999999983245,2023-08-17 08:35:00,2023-08-17 10:35:00,2023-08-17 11:15:00,2023-08-17 08:35:00,2023-08-17 10:35:00,2023-08-17 11:15:00,1.0918,1.08843,1.08821
buy,EURUSD,2023-08-18,M5,2023-08-18 08:35:00,2023-08-18 09:55:00,2023-08-18 08:35:00,2023-08-18 09:10:00,2023-08-18 09:50:00,2023-08-18 08:35:00,2023-08-18 09:10:00,2023-08-18 09:50:00,1.0845,1.08687,1.08761,31.09999999999946,11.299999999998533,4.3999999999999595,5.999999999999339,,,,,,,,,
buy,EURUSD,2023-08-24,M5,2023-08-24 08:50:00,2023-08-24 09:50:00,2023-08-24 08:50:00,2023-08-24 09:15:00,2023-08-24 09:45:00,2023-08-24 08:50:00,2023-08-24 09:15:00,2023-08-24 09:45:00,1.08142,1.08307,1.08399,25.699999999999612,5.599999999998939,0.8999999999992347,4.599999999999049,,,,,,,,,
buy,EURUSD,2023-09-07,M5,2023-09-07 08:50:00,2023-09-07 10:45:00,2023-09-07 08:50:00,2023-09-07 09:10:00,2023-09-07 10:40:00,2023-09-07 08:50:00,2023-09-07 09:10:00,2023-09-07 10:40:00,1.06861,1.07027,1.07086,22.499999999998632,8.899999999998354,3.1000000000003247,5.099999999997884,,,,,,,,,
buy,EURUSD,2023-09-18,M5,2023-09-18 09:00:00,2023-09-18 10:35:00,2023-09-18 09:00:00,2023-09-18 09:20:00,2023-09-18 10:30:00,2023-09-18 09:00:00,2023-09-18 09:20:00,2023-09-18 10:30:00,1.06546,1.0671,1.06728,18.199999999999328,7.699999999999374,2.6999999999999247,1.5999999999993797,,,,,,,,,
sell,EURUSD,2023-11-02,M5,2023-11-02 08:50:00,2023-11-02 10:15:00,,,,,,,,,,35.30000000000033,15.800000000001369,7.4000000000018495,2.9999999999996696,2023-11-02 08:50:00,2023-11-02 09:50:00,2023-11-02 10:10:00,2023-11-02 08:50:00,2023-11-02 09:50:00,2023-11-02 10:10:00,1.06675,1.06418,1.06322
sell,EURUSD,2023-12-13,M5,2023-12-13 09:10:00,2023-12-13 09:40:00,,,,,,,,,,25.299999999999212,5.40000000000207,3.60000000000138,1.80000000000069,2023-12-13 09:10:00,2023-12-13 09:20:00,2023-12-13 09:35:00,2023-12-13 09:10:00,2023-12-13 09:20:00,2023-12-13 09:35:00,1.08093,1.07945,1.0784
sell,EURUSD,2023-12-18,M5,2023-12-18 10:00:00,2023-12-18 10:45:00,,,,,,,,,,20.200000000001328,7.200000000000539,1.7000000000000348,3.4000000000000696,2023-12-18 10:00:00,2023-12-18 10:10:00,2023-12-18 10:40:00,2023-12-18 10:00:00,2023-12-18 10:10:00,2023-12-18 10:40:00,1.09311,1.09153,1.09109
