symbol,date_ny,direction,scenario_id,exit_mode,setup_index,filled,miss_reason,entry_time,exit_time,expiration_time,entry_price,sl_price,tp_price,exit_price,exit_reason,result_R,sl_size_pips,holding_minutes
EURUSD,2023-01-10,buy,limit_fvg2_london_2R,exit_4pm,0,True,,2023-01-10 10:40:00,2023-01-10 16:00:00,2023-01-10 12:00:00,1.07246,1.07111,1.07516,1.07362,SESSION_CLOSE,0.86,13.5,320.0
EURUSD,2023-01-17,sell,limit_fvg2_london_2R,exit_4pm,1,False,no_fill_until_noon,,,2023-01-17 12:00:00,1.08497,1.08701,1.08088,,,,,
EURUSD,2023-01-24,buy,limit_fvg2_london_2R,exit_4pm,2,False,no_fill_until_noon,,,2023-01-24 12:00:00,1.08546,1.08341,1.08957,,,,,
EURUSD,2023-01-31,sell,limit_fvg2_london_2R,exit_4pm,3,True,,2023-01-31 10:30:00,2023-01-31 11:10:00,2023-01-31 12:00:00,1.08465,1.0865,1.08095,1.0865,SL,-1.0,18.5,40.0
EURUSD,2023-02-28,sell,limit_fvg2_london_2R,exit_4pm,4,False,no_fill_until_noon,,,2023-02-28 12:00:00,1.06285,1.06459,1.05938,,,,,
EURUSD,2023-04-21,sell,limit_fvg2_london_2R,exit_4pm,5,True,,2023-04-21 10:20:00,2023-04-21 16:00:00,2023-04-21 12:00:00,1.09758,1.09944,1.09385,1.099,SESSION_CLOSE,-0.76,18.63,340.0
EURUSD,2023-04-27,buy,limit_fvg2_london_2R,exit_4pm,6,False,no_fill_until_noon,,,2023-04-27 12:00:00,1.10139,1.09912,1.10593,,,,,
EURUSD,2023-05-01,sell,limit_fvg2_london_2R,exit_4pm,7,False,no_fill_until_noon,,,2023-05-01 12:00:00,1.10203,1.10363,1.09882,,,,,
EURUSD,2023-06-07,sell,limit_fvg2_london_2R,exit_4pm,8,False,no_fill_until_noon,,,2023-06-07 12:00:00,1.07164,1.07404,1.06684,,,,,
EURUSD,2023-06-27,sell,limit_fvg2_london_2R,exit_4pm,9,True,,2023-06-27 10:20:00,2023-06-27 16:00:00,2023-06-27 12:00:00,1.09603,1.09774,1.0926,1.09625,SESSION_CLOSE,-0.13,17.13,340.0
EURUSD,2023-07-10,buy,limit_fvg2_london_2R,exit_4pm,10,False,no_fill_until_noon,,,2023-07-10 12:00:00,1.09528,1.09426,1.09733,,,,,
EURUSD,2023-07-17,buy,limit_fvg2_london_2R,exit_4pm,11,False,no_fill_until_noon,,,2023-07-17 12:00:00,1.12179,1.12025,1.12487,,,,,
EURUSD,2023-07-28,sell,limit_fvg2_london_2R,exit_4pm,12,True,,2023-07-28 09:55:00,2023-07-28 10:00:00,2023-07-28 12:00:00,1.10101,1.10341,1.09621,1.10341,SL,-1.0,24.0,5.0
EURUSD,2023-08-14,buy,limit_fvg2_london_2R,exit_4pm,13,False,no_fill_until_noon,,,2023-08-14 12:00:00,1.08979,1.08739,1.09459,,,,,
EURUSD,2023-08-17,sell,limit_fvg2_london_2R,exit_4pm,14,False,no_fill_until_noon,,,2023-08-17 12:00:00,1.09004,1.09188,1.08636,,,,,
EURUSD,2023-08-18,buy,limit_fvg2_london_2R,exit_4pm,15,False,no_fill_until_noon,,,2023-08-18 12:00:00,1.08555,1.08442,1.0878,,,,,
EURUSD,2023-08-24,buy,limit_fvg2_london_2R,exit_4pm,16,True,,2023-08-24 11:20:00,2023-08-24 14:15:00,2023-08-24 12:00:00,1.08304,1.08134,1.08643,1.08134,SL,-1.0,16.97,175.0
EURUSD,2023-09-07,buy,limit_fvg2_london_2R,exit_4pm,17,True,,2023-09-07 11:05:00,2023-09-07 16:00:00,2023-09-07 12:00:00,1.06967,1.06853,1.07196,1.06968,SESSION_CLOSE,0.01,11.43,295.0
EURUSD,2023-09-18,buy,limit_fvg2_london_2R,exit_4pm,18,False,no_fill_until_noon,,,2023-09-18 12:00:00,1.06608,1.06538,1.06747,,,,,
EURUSD,2023-11-02,sell,limit_fvg2_london_2R,exit_4pm,19,False,no_fill_until_noon,,,2023-11-02 12:00:00,1.06443,1.06683,1.05963,,,,,
EURUSD,2023-12-13,sell,limit_fvg2_london_2R,exit_4pm,20,False,no_fill_until_noon,,,2023-12-13 12:00:00,1.07978,1.08101,1.07731,,,,,
EURUSD,2023-12-18,sell,limit_fvg2_london_2R,exit_4pm,21,True,,2023-12-18 11:30:00,2023-12-18 16:00:00,2023-12-18 12:00:00,1.09236,1.09319,1.09071,1.09183,SESSION_CLOSE,0.65,8.27,270.0
EURUSD,2023-12-22,sell,limit_fvg2_london_2R,exit_4pm,22,False,no_fill_until_noon,,,2023-12-22 12:00:00,1.1027,1.10409,1.09992,,,,,
EURUSD,2024-02-07,sell,limit_fvg2_london_2R,exit_4pm,23,False,no_fill_until_noon,,,2024-02-07 12:00:00,1.07757,1.07846,1.07578,,,,,
EURUSD,2024-02-16,buy,limit_fvg2_london_2R,exit_4pm,24,False,no_fill_until_noon,,,2024-02-16 12:00:00,1.07474,1.07311,1.078,,,,,
EURUSD,2024-03-07,buy,limit_fvg2_london_2R,exit_4pm,25,False,no_fill_until_noon,,,2024-03-07 12:00:00,1.08789,1.0867,1.09027,,,,,
EURUSD,2024-04-16,sell,limit_fvg2_london_2R,exit_4pm,26,True,,2024-04-16 09:35:00,2024-04-16 13:30:00,2024-04-16 12:00:00,1.06396,1.06543,1.06102,1.06102,TP,2.0,14.7,235.0
EURUSD,2024-05-02,buy,limit_fvg2_london_2R,exit_4pm,27,False,no_fill_until_noon,,,2024-05-02 12:00:00,1.06916,1.06734,1.0728,,,,,
EURUSD,2024-05-23,sell,limit_fvg2_london_2R,exit_4pm,28,False,no_fill_until_noon,,,2024-05-23 12:00:00,1.08452,1.08616,1.08124,,,,,
EURUSD,2024-06-14,buy,limit_fvg2_london_2R,exit_4pm,29,False,no_fill_until_noon,,,2024-06-14 12:00:00,1.06832,1.06668,1.0716,,,,,
EURUSD,2024-06-24,sell,limit_fvg2_london_2R,exit_4pm,30,True,,2024-06-24 11:00:00,2024-06-24 16:00:00,2024-06-24 12:00:00,1.07322,1.07471,1.07023,1.0736,SESSION_CLOSE,-0.26,14.93,300.0
EURUSD,2024-07-31,sell,limit_fvg2_london_2R,exit_4pm,31,False,no_fill_until_noon,,,2024-07-31 12:00:00,1.08356,1.08501,1.08065,,,,,
EURUSD,2024-08-08,buy,limit_fvg2_london_2R,exit_4pm,32,False,no_fill_until_noon,,,2024-08-08 12:00:00,1.08969,1.08806,1.09295,,,,,
EURUSD,2024-09-27,sell,limit_fvg2_london_2R,exit_4pm,33,True,,2024-09-27 09:55:00,2024-09-27 11:55:00,2024-09-27 12:00:00,1.11858,1.12038,1.11498,1.11593,TRAILING_STOP_NEAR_TP,1.47,18.0,120.0
EURUSD,2024-10-30,buy,limit_fvg2_london_2R,exit_4pm,34,False,no_fill_until_noon,,,2024-10-30 12:00:00,1.08245,1.08071,1.08593,,,,,
EURUSD,2024-11-07,sell,limit_fvg2_london_2R,exit_4pm,35,False,no_fill_until_noon,,,2024-11-07 12:00:00,1.0804,1.08255,1.0761,,,,,
EURUSD,2024-11-13,sell,limit_fvg2_london_2R,exit_4pm,36,False,no_fill_until_noon,,,2024-11-13 12:00:00,1.06343,1.06548,1.05933,,,,,
EURUSD,2024-11-25,sell,limit_fvg2_london_2R,exit_4pm,37,True,,2024-11-25 10:25:00,2024-11-25 16:00:00,2024-11-25 12:00:00,1.05071,1.05311,1.04591,1.0494,SESSION_CLOSE,0.55,24.0,335.0
EURUSD,2024-12-16,buy,limit_fvg2_london_2R,exit_4pm,38,False,no_fill_until_noon,,,2024-12-16 12:00:00,1.04907,1.04737,1.05247,,,,,
EURUSD,2024-12-20,sell,limit_fvg2_london_2R,exit_4pm,39,True,,2024-12-20 10:05:00,2024-12-20 11:35:00,2024-12-20 12:00:00,1.04052,1.04198,1.03759,1.04198,SL,-1.0,14.63,90.0
EURUSD,2025-03-07,sell,limit_fvg2_london_2R,exit_4pm,40,True,,2025-03-07 10:45:00,2025-03-07 13:15:00,2025-03-07 12:00:00,1.08681,1.08892,1.08259,1.08259,TP,2.0,21.1,150.0
EURUSD,2025-03-13,buy,limit_fvg2_london_2R,exit_4pm,41,False,no_fill_until_noon,,,2025-03-13 12:00:00,1.08427,1.08214,1.08852,,,,,
EURUSD,2025-03-20,buy,limit_fvg2_london_2R,exit_4pm,42,False,no_fill_until_noon,,,2025-03-20 12:00:00,1.08336,1.08137,1.08734,,,,,
EURUSD,2025-04-15,buy,limit_fvg2_london_2R,exit_4pm,43,True,,2025-04-15 11:25:00,2025-04-15 11:55:00,2025-04-15 12:00:00,1.13085,1.12845,1.13565,1.12845,SL,-1.0,24.0,30.0
EURUSD,2025-04-22,buy,limit_fvg2_london_2R,exit_4pm,44,True,,2025-04-22 10:50:00,2025-04-22 12:00:00,2025-04-22 12:00:00,1.1475,1.1455,1.15151,1.1455,SL,-1.0,20.03,70.0
EURUSD,2025-06-09,buy,limit_fvg2_london_2R,exit_4pm,45,False,no_fill_until_noon,,,2025-06-09 12:00:00,1.14034,1.13856,1.14391,,,,,
EURUSD,2025-06-10,sell,limit_fvg2_london_2R,exit_4pm,46,True,,2025-06-10 10:55:00,2025-06-10 16:00:00,2025-06-10 12:00:00,1.14246,1.14483,1.13772,1.14265,SESSION_CLOSE,-0.08,23.7,305.0
EURUSD,2025-06-12,sell,limit_fvg2_london_2R,exit_4pm,47,False,no_fill_until_noon,,,2025-06-12 12:00:00,1.16079,1.16319,1.15599,,,,,
